Name,Height
Aurelia Barbagallo,63
Jacqueline DeFranco,65
Katherine Ebrahim,69
Jessica  Johnson,68
Brooke Manning,66
Edna Melendez,69
Morgan Novello,65
Kolleen Rodriguez,62
Deanna Soueid,62
Jordan Swanson,67
Katarina Tsirlin,64
Asmea Youssef,67
Nakia Usher,58
Julia Wyman,58
Scarlet Astudillo,64
Joscelyn  Galindo,63
Dea Gazheli,63
Amanda Lee,61
Katherine Lee,62
Jillian Quinn,65
Aanya Shukul,69
Nicole  Tarasiuk,67
Joyce  Wong,64
Amy Zeng,62
Fifi  Amanuel,64
Julia Caramagna,62
Isabella Hanson,70
Mairin Huston,63
Maddy Joe,62
Grace Korey,70
Camila Mercado,61
Valeria Pages,61
Alazne Sudupe,65
Magdalen Swat,62
Sovy Taylor,65
Rachel Vazquez,65
Cami Yovich,62
Krisztina Balogh,66
Emma Bellars,65
Abby Burns,65
Alisa Dovbnya,68
Laney Fenton,66
Grace Geyer,71
Taylor Jacobson,61
Ashley Konz,68
Emma Lindecke,65
Abbie Masters,63
Teagan Powell,69
Vivian Ravines,68
Faith Ring,63
Sydney Stemley,66
Braelyn Wilson,65
Victoria Zjawin,64
Claire Armstrong,65
Erin Clune,70
Kimberly Colella,64
Cadence  Dudley,62
Anna Guzzo,64
Natalie Hunt,64
Kayla Keddy,62
Melissa Kelly,63
Anna McCall,66
Emma McInerney,67
Erin Mullery,66
Sophia Olson,62
Samantha Sanchez,66
Danielle Shaw,61
Paige Splendido,65
Emma Stephenson,67
Callie Stinson,64
Jessie Triller,62
Emma Trumino,65
Gabriela Almeida,63
Marin Azhar,61
Alyssa Budzynski,68
Brigitti Cruz,66
Danielle D'Angelo,66
Megan Dawes,68
Sekyi Dolma,63
Chelsy Espinosa,65
Amanda Giordano,65
Naomi Oken,64
Allie Stanya,67
Gabriella Vicidomini,64
Lily Wilk,63
Leah Allen,65
Jessica Brusnahan,66
Elle Christie,69
Marit de Lau,67
Noelle Defabio,66
Laney Fenton,67
Morgen Frausto,69
Isabella Gable,71
Jana Hellenschmidt,68
Claudia Hollis,69
Shelby Kasse,70
Ellie Lopez,68
Stephanie Marks,70
Adison Marshall,69
Beata Maruszczyk,63
Emily Massengale,67
Joselle Mensah,69
Marlene Pape,68
Chloe  Pearson,64
Ashley Richard,64
Meredith Riegler,68
Camilla Rimmereide,66
Leticia Rodrigues,65
Lillie Schafer,60
Sophia Scott,64
Taylor Seilheimer,69
McKayla Siemiller,68
Emily Snyder,66
Nina Tasic,67
Bayley Thompson,65
Kirsten Votava,69
Linsey Watson,68
Katie Werkema,63
Lexie Winnett,67
Lyssa Wood,69
Aurora Abbruscato,66
Bianka Bukovics,71
Sophia Burwitz,66
Terrah DeLorimiere,63
Luiza Dias,68
McKenzie Fazio,74
Chiara Fuerst,67
Olivia Fuller,68
Atzi Gomez,63
Sarah Gormley,66
Presley Heitzmann,71
Alexis Kachkin,69
Natalia Kralova,69
Helena  Kurtz,64
Tumi Macdonell,68
Keianna Moss,68
Rylee Sitton,67
Caitlyn Sligh,68
Karley Sonnenberg,70
Olivia Terry,65
Logan Wilson,65
Jocelyn Zgola,70
Alexia Bakyt,67
Susanna Buckley,65
Wendy Daza,62
Gurveen Dhallu,65
Ayatallah Elkotby,72
Whitney Fowler,69
Anastassiya Gousseva,66
Julie  Huang,61
Anastasia Kutuzov,66
Monica  Prado Capon,66
Yulia Reznik Korik,66
Mariama Sano,65
