Name,Height
Jasmine  Vega,61
Samantha Panameno,65
Simranjit Kaur,63
Jasmine Dias,59
Devina  Luckhoo,63
Amariana Kidd,63
Yoanne Boadji,65
Jachimma Onwuamaegbu,71
Maritza Ortega Ramirez,66
Madison Plaza,67
Alicia Gumbs,65
Vanessa Ramirez,63
Maria Ventura,63
Jeana Clemons,67
Maynee De Los Santos,64
Emely Nunez,66
Kiana Castillo,70
Breanna Kimbrough,69
Zouera Sofiani,65
Nicole Santos,66
Aichata Kone,70
Nayely Rodriguez,66
Nahara Lopez,66
Despina Boudouris,65
Olivia Hyman,65
Sophie Schonauer,67
Nourhan Hadjeb,61
Christina Franco,69
Madi Hathaway,70
Elena Leung,68
Alicia Cervera,71
Lindsay Osterhoudt,73
Elizabeth Cerullo,68
Alexis Stoehrer,65
Jonaida Donowa,71
Jayna Marie Lorenzo,68
Kendall Conrad,71
Sarah Munn,63
Maya Angelova,75
Marah  Zenner,65
Rylie Harris,65
Giulia Rodrigues,63
Mia Saavedra,70
Mikayla  Kline,70
Sophia Kruczko,75
Lauren Posa,73
Abigail LeVines,71
Jada Suguturaga,73
Libby Nickels,61
Madelyn Eden,74
Jacklyn Simms,72
Marin Freeland,74
Layne Witherspoon,70
Janvier Buggs,66
Amelia Fitzpatrick,69
Lexi Basler,64
Ella Wicker,65
Marley Middlebrooks,70
Meredith Dixon,73
Colby Stempkowski,72
Bennett Daniels,71
Briged Potter,70
Shaelin Bilbo,66
Jordan Norwood,70
Molly Boyd,75
Jordan Berglin,70
Clare Sheedy,72
Cecilia Robert,67
Maeson Peterson,73
Lainee Mack,68
Cassidy Bloom,69
Gracie Fleming,71
Ana Cate Loftus,70
Madison Fox,67
Anna Sommer,73
Sidney Hogan,67
Avery Pearson,74
Tucker Patterson,70
Chloe Duzenack,71
Lexi Rogers,69
Alli Bishop,72
Hailey Admire,70
Kira Bostick,66
Leilani Brown,69
Bailey Corrigan,72
Ella Hukel,63
Hayley Laskowski,73
Kadence Livingston,69
Camie Mitrovich,69
Baylee Rabun,65
Brynn Westby,72
Olivia Cook,68
Kaitlyn Houck,63
Kelly Gaston,68
Avery Nicholson,65
Natalie Acevedo,68
Salma Villa  Morales,62
Reagan  Irons,69
Avery Beall,69
Madison Eckley,65
Emma Kelly,69
Evie Jane Rembold,71
Gracelynn Wolzen,71
Maggie Rafferty,67
Gabby Gealey,71
Claire Pavick,68
Erin Ferello,65
Alyssa Daley,75
Myka Costanzo,64
Kyleigh McDermit,71
Katrina Cowder,71
Iyanna  Charon,67
Yaxeny Hernandez,64
Camila  Lebron,67
Nicole  Rosas,64
Savannah  Williams,68
Nyla  Rivera,67
Tiffany  Alvarez,64
Jasmine  Garcia,67
Nathalia  Shaw,64
Zainab Conteh,68
Ashly  Cabral,64
Daniela Salazar-Gomez,63
Amy Criollo,63
Jamielee Adomo,62
Emmanuella Aurel,66
Josanne Lewis,67
Garyana Altidor,61
Sarah Lee,64
Cheyenne Gray-Taitt,64
Albina Rugova,63
Megan Rivera,62
Xheni Doci,67
Brianna Pinder,65
Johana Boleaga Ramirez,66
Jeimy Constante,67
