Name,Height
Anthony Attenborough,70
James Curran,69
Charles Cusumano,64
David Fayngersh,70
Michael Graham,70
Eslam Hussein,67
Maxim Kleyer,70
William Kwan,68
Julian Lopez,68
Dylan Martinson,73
Hassan Matar,70
David Poggioli,73
Elliot Radov,73
Josiah Rivera,68
Sam Rozenfeld,67
Nicholas Tartaglione,72
Ahmed Algendy,73
Aanas Aybakar,72
George Molina,72
Wood-by Paulemont,69
Richard Reyes,66
Jeremy Sapeg,70
Alex Winter,72
Ethan Abramov,73
Adam Byrne,73
Dylan Cellamare,67
Floyd Diaz,70
Vicent Dominguez Romero,70
Youssef  Elkhouly,75
Ramiel Fayngersh,71
Eric Goldshteyn,68
Michael Guzman,70
Christos Hamakiotes,69
Duncan Huie,69
Samuel Liao,65
Jordan Lin,69
Eric Mayzlin,65
Sami Rahman,70
Maxim Reznik,71
Luca Shapiro,69
Gregory Terentyev,67
Valentyn Titarenko,71
Leonardo Valdivia,68
Daniel Vasilkoff,71
Lucas Vasquez,72
Stuart Xu,65
Daniel Yadgarov,72
Caleb Baron,72
Tyler Canteen,67
Doruk Evcimen,68
Tyler Finkle,76
AJ Guevara,66
Tomas  Jimenez,67
Daniel Karamanougian,70
Devin Korsak,70
Matthew O'Brien,71
Jacob Peraza,73
Sean Robinson,72
Andy Shkolnik,71
Joe Swede,76
Adam Wright,69
Maddox Aramini,67
Nicky Byrd,70
Ross Caimano,70
Joseph  Campise,73
Andrew Capella,69
Russell Cheng,67
Matt Cleveland,68
Bastian Dudley,70
Anthony Genovese,72
Luke Goodspeed,68
Dylan Harrison,69
Brendan Heaney,71
Ben Heyman,68
Calvin Hitzschke,72
Jack Humphrey,71
James  Llewellyn,66
Cosmo Martinelli,74
Josh Pappace,69
Colin Ringwood,69
David Scott,70
Delroy Tyrrell,72
Gavin Weseman,76
Benjamin Beldner,73
Brandon Berger,73
Ryan Board,71
Keegan Chatham,70
Zachary Ciriaco,66
Ryan Cohn,70
Nathan DeGuzman,69
Christopher Egan,66
Christopher Ghim,72
Brian Harding,76
Jackson Homan,72
Sandon Karinsky,70
George Kipshidze,73
Eric Kroon,77
Elijah Lanfear,74
Xiaoyu Lin,73
Ryan Maierle,75
William Maurer,70
Justin Meyn,74
Liam Murphy,73
Oisin O'Sullivan,71
Matthew Palguta,74
Travis Phillips,73
Robert Reining,74
Henry Shemet,75
Jake  Vecchio,68
Matthew Czubachowski,72
Nicholas Dolan,73
Caleb Ferns,72
Nicholas Griffith,76
Joseph Guiliano,72
Kieran Hassard,72
Anthony Laite,69
Drew MacDonald,72
Kyle Morken,73
Peter Vanderwerf,75
Jordan Anderson,72
Tyler  Arthur,70
Ryan Boeding,74
Noah Boyd,68
Jerry Brown,77
Brooks Cosman,72
Trevor Danner,73
Alex Gelman,71
Eric Hansson,72
Jan Hanzal,68
Tait Harvey,73
Nicholas Heye,71
Kyle Holzum,76
Elliott Irwin,74
Vincent Jaworski,74
Connor  Jokerst,70
Zach Linder,77
Matheo Mateos-Mongelos,72
Dylan McClain,72
David Molina-Fregenal,70
Brooks Moore,71
Jake Noble,70
Jose Ochoa,69
Melker Olsson,74
Evan Root,76
Max Roth,70
Pedro Henrique  Salvador da Silva,70
Gavin Schulte,73
Sebastian Silva,68
Ole Tharandt,72
Tyler Welch,69
Patryk Winiatowski,72
Caden Brooks,73
Kirk Brotherton,72
Owen Brubaker,75
DaVante Carey,72
Chance Conde,73
Patrick Cramer,74
Samuel Davey,71
Christian Davidson,68
Mason Enthoven,67
Miles Fleischer,63
Leo Gandaria-Hernandez,72
Kadence Griffin,70
Colton Grimes,79
Abram Hagedorn,73
Ethan Hanson,75
Come Jaegle,72
Nick Khatkovyy,68
Wyatt Kurtz,65
Caleb Law,72
Jackson Lustig,73
Neill Mauss,73
Xander McWhorter,71
Spencer Meyers,73
Archie  Minto,71
Finn Moseley,72
Joey Ovanic,72
Filipe Pinheiro,73
Nathan Pollard,74
Patryk Rozenek,75
Arthur Souza,69
Matthew Stooke,76
Michael Stooke,72
Noah Tague,74
Mario Perez Torrado,71
Preston Troyer,72
Tyson Upton,79
Alireza Yavari,70
Ronaldo Barrios,74
Devin Boodha,69
Nikita  Cary,68
Alec Chi,70
Peter Ebert,74
Andwele Estwick,71
Omar Hasan- Hafez,73
Christian Hoyek,72
Konstantin Lomeyko,68
Mark  MacEachen,76
James Rupa,70
Akmalijon Salimov,69
